Date,FTSE100,Rtn
1/3/1995,3065.7,0.00021692
1/4/1995,3051.6,-0.004609885
1/5/1995,3032.3,-0.006344636
1/6/1995,3065,0.010726162
1/9/1995,3055.8,-0.003006145
1/10/1995,3060.4,0.001504202
1/11/1995,3049.4,-0.003600776
1/12/1995,3033.2,-0.005326682
1/13/1995,3048.3,0.00496589
1/16/1995,3076.7,0.009273536
1/17/1995,3054,-0.007405387
1/18/1995,3054.9,0.000294652
1/19/1995,3028.6,-0.008646392
1/20/1995,2995.9,-0.010855779
1/23/1995,2954.2,-0.014016801
1/24/1995,2969,0.004997309
1/25/1995,2982.2,0.004436087
1/26/1995,3007.3,0.008381383
1/27/1995,3022.2,0.004942377
1/30/1995,2995.9,-0.008740356
1/31/1995,2991.6,-0.001436326
2/1/1995,3017.3,0.00855403
2/2/1995,3034.7,0.005750181
2/3/1995,3059.7,0.008204299
2/6/1995,3062,0.000751425
2/7/1995,3072.7,0.003488357
2/8/1995,3072.5,-6.50915E-05
2/9/1995,3099,0.008587916
2/10/1995,3109.9,0.003511093
2/13/1995,3081.1,-0.009303895
2/14/1995,3071.3,-0.003185751
2/15/1995,3074.9,0.001171456
2/16/1995,3051.1,-0.007770199
2/17/1995,3044.2,-0.00226404
2/20/1995,3018.6,-0.008444993
2/21/1995,3023.4,0.001588878
2/22/1995,3019.5,-0.001290771
2/23/1995,3049.3,0.009820801
2/24/1995,3037.7,-0.003811406
2/27/1995,3025.3,-0.00409039
2/28/1995,3009.3,-0.005302767
3/1/1995,3041.2,0.010544681
3/2/1995,3038.2,-0.00098694
3/3/1995,3025.1,-0.004321086
3/6/1995,3001.9,-0.007698727
3/7/1995,2977,-0.008329339
3/8/1995,2992.1,0.0050594
3/9/1995,2986.9,-0.001739422
3/10/1995,3021.1,0.011384943
3/13/1995,3011.8,-0.003083097
3/14/1995,3050.6,0.012800386
3/15/1995,3047,-0.001180793
3/16/1995,3094.1,0.015339572
3/17/1995,3089.3,-0.001552544
3/20/1995,3124.2,0.011233722
3/21/1995,3135,0.003450924
3/22/1995,3139.7,0.00149808
3/23/1995,3136.4,-0.001051609
3/24/1995,3153.4,0.00540559
3/27/1995,3149.8,-0.001142277
3/28/1995,3128.3,-0.006849233
3/29/1995,3142.3,0.00446529
3/30/1995,3176.2,0.010730498
3/31/1995,3137.9,-0.012131727
4/3/1995,3143.1,0.001655788
4/4/1995,3188.1,0.014215554
4/5/1995,3190.2,0.000658483
4/6/1995,3200.9,0.00334841
4/7/1995,3210.9,0.003119251
4/10/1995,3204.2,-0.002088822
4/11/1995,3190.9,-0.004159441
4/12/1995,3209.8,0.005905621
4/13/1995,3208.8,-0.000311594
4/18/1995,3194.5,-0.004466454
4/19/1995,3170.1,-0.007667448
4/20/1995,3174.7,0.001450007
4/21/1995,3199.9,0.00790642
4/24/1995,3209.3,0.002933286
